Account Name,Campaign ID,Campaign Name,Campaign Status,Ad Set Name,Ad Set ID,Ad Set Status,Website URL(s)
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_time_reversal_mix_reel_200226 – Copy,120238453490650436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238453441080436,ntn_adv_web_conv_skin_offer_mix_210226,PAUSED,brand_offer_mix_static_200226,120238453441050436,ACTIVE,https://studdmuffynlife.com/
SML Skin,120238492681390436,ntn_web_conv_skin_time_reversal_reel_23022026,PAUSED,brand_time_reversal_creatives_200226,120238492681380436,ACTIVE,https://studdmuffynlife.com/collections/botox
SML Skin,120238492816820436,ntn_web_conv_skin_pit_glow_reel_23022026,PAUSED,brand_underarm_creatives_230226,120238492816870436,ACTIVE,https://studdmuffynlife.com/collections/underarm-neck-bright
SML Skin,120238492816820436,ntn_web_conv_skin_pit_glow_reel_23022026,PAUSED,brand_pit_glow_creatives_230226,120238492816840436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-odor
SML Skin,120238704144930436,ntn_tof_web_holi_offer_static_reel_clp_270226,PAUSED,open_india_offer_holi_static_creative_270226,120238704144920436,ACTIVE,https://studdmuffynlife.com/
SML Skin,120238704690180436,ntn_tof_web_pitglow_static_reel_clp_270226,PAUSED,open_india_skin_pitglow_static_creative_270226,120238704913520436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-1
SML Skin,120238704690180436,ntn_tof_web_pitglow_static_reel_clp_270226,PAUSED,open_india_skin_pitglow_mix_creative_270226,120238704879170436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-1
SML Skin,120238704690180436,ntn_tof_web_pitglow_static_reel_clp_270226,PAUSED,open_india_skin_pitglow_reel_clp_creative_270226,120238704690190436,ACTIVE,https://studdmuffynlife.com/collections/pitglow-1
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_static_creative_270226,120238705056950436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_mix_creative_270226,120238705020980436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_reel_clp_creative_270226,120238704941570436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_static_creative_270226,120238705056950436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_mix_creative_270226,120238705020980436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_reel_clp_creative_270226,120238704941570436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_static_creative_270226,120238705056950436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_mix_creative_270226,120238705020980436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238704941550436,ntn_tof_web_lipbright_static_reel_clp_270226,PAUSED,open_india_skin_lipbright_reel_clp_creative_270226,120238704941570436,ACTIVE,https://studdmuffynlife.com/collections/nuskhe-by-paras-lip-bright
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_static_creative_270226 – Copy,120238705147520436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_mix_creative_270226,120238705120870436,ACTIVE,https://studdmuffynlife.com/ | https://studdmuffynlife.com/collections/botox
SML Skin,120238705094160436,ntn_tof_web_timereversal_static_reel_clp_270226,PAUSED,open_india_skin_timereversal_reel_clp_creative_270226,120238705094150436,ACTIVE,https://studdmuffynlife.com/collections/botox
